series_id,title,popularity,frequency
ACTLISCOUTX,Housing Inventory: Active Listing Count in Texas,45,Monthly
EXPGSC1,Real Exports of Goods and Services,45,Quarterly
FYPUGDA188S,Gross Federal Debt Held by the Public as Percent of Gross Domestic Product,45,Annual
A794RX0Q048SBEA,Real personal consumption expenditures per capita,45,Quarterly
ACTLISCOU6037,"Housing Inventory: Active Listing Count in Los Angeles County, CA",44,Monthly
L312041A027NBEA,Government subsidies: Federal: Agricultural,44,Annual
USRECDM,NBER based Recession Indicators for the United States from the Peak through the Trough,44,"Daily, 7-Day"
IRSTCB01CAM156N,Interest Rates: Immediate Rates (< 24 Hours): Central Bank Rates: Total for Canada,44,Monthly
BOPTEXP,"Exports of Goods and Services, Balance of Payments Basis",44,Monthly
LTOTALNSA,Light Weight Vehicle Sales,44,Monthly
PCESC96,Real Personal Consumption Expenditures: Services,44,Monthly
PCES,Personal Consumption Expenditures: Services,44,Monthly
A072RC1Q156SBEA,Personal saving as a percentage of disposable personal income,44,Quarterly
NGMP35620,"Total Gross Domestic Product for New York-Newark-Jersey City, NY-NJ-PA (MSA)",44,Annual
GPSAVE,Gross Private Saving,44,Quarterly
GOMA,Gross Output by Industry: Manufacturing,43,Quarterly
NETEXC,Real Net Exports of Goods and Services,43,Quarterly
DGDSRX1,Real Personal Consumption Expenditures: Goods,43,Monthly
CCUSMA02EZM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Euro Area (19 Countries),43,Monthly
W273RE1A156NBEA,"Shares of gross domestic income: Corporate profits with inventory valuation and capital consumption adjustments, domestic industries: Profits after tax with inventory valuation and capital consumption adjustments",43,Annual
ARGCPALTT01GPM,Consumer Price Index: All Items: Total for Argentina,43,Monthly
STICKCPIM157SFRBATL,Sticky Price Consumer Price Index,43,Monthly
B230RC0A052NBEA,Population,43,Annual
DPI,Disposable Personal Income,43,Quarterly
ACTLISCOU6073,"Housing Inventory: Active Listing Count in San Diego County, CA",43,Monthly
M0264AUSM500NNBR,New Home Mortgage Applications for United States,43,Monthly
W398RC1A027NBEA,Household saving,43,Annual
AVHWPEUSA065NRUG,Average Annual Hours Worked by Persons Engaged for United States,43,Annual
IGREA,Index of Global Real Economic Activity,43,Monthly
IRLTLT01KRM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Korea,43,Monthly
EUEPUINDXM,Economic Policy Uncertainty Index for Europe,42,Monthly
A466RD3Q052SBEA,Profit per unit of real gross value added of nonfinancial corporate business: Corporate profits after tax with IVA and CCAdj (unit profits from current production),42,Quarterly
CPALTT01CNM657N,Consumer Price Index: All Items: Total for China,42,Monthly
LFWA64TTJPM647S,Infra-Annual Labor Statistics: Working-Age Population Total: From 15 to 64 Years for Japan,42,Monthly
CHNGDPNQDSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for China,42,Quarterly
BSCICP02USM460S,Business Tendency Surveys (Manufacturing): Confidence Indicators: Composite Indicators: National Indicator for United States,42,Monthly
INDCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for India",42,Monthly
B4701C0A222NBEA,Hours worked by full-time and part-time employees,42,Annual
RTFPNACNA632NRUG,Total Factor Productivity at Constant National Prices for China,42,Annual
HBFIGDQ188S,Federal Debt Held by Foreign and International Investors as Percent of Gross Domestic Product,42,Quarterly
DFXARC1M027SBEA,Personal consumption expenditures: Food,42,Monthly
FPI,Fixed Private Investment,42,Quarterly
A191RP1A027NBEA,Gross Domestic Product,41,Annual
GGGDTAJPA188N,General government gross debt for Japan,41,Annual
CPGDPAI,Contributions to Percent Change in Real GDP by Industry: Gross Domestic Product,41,Quarterly
CSCICP02CNM460S,Consumer Opinion Surveys: Composite Consumer Confidence for China,41,Monthly
W207RC1Q156SBEA,Net saving as a percentage of gross national income,41,Quarterly
PB0000091Q225SBEA,Real Average of GDP and GDI,41,Quarterly
BSCICP03USM665S,Composite Leading Indicators: Composite Business Confidence Amplitude Adjusted for United States,41,Monthly
IRNNXGOCMBD,"Crude Oil Exports for Iran, Islamic Republic of",41,Annual
IEABCP,Balance on capital account,41,Quarterly
NGMP41860,"Total Gross Domestic Product for San Francisco-Oakland-Hayward, CA (MSA)",41,Annual
IR3TCD01USM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Certificates of Deposit: Total for United States,41,Monthly
IMPJP,U.S. Imports of Goods by Customs Basis from Japan,41,Monthly
M09075USM476NNBR,Nonfarm Real Estate Foreclosures for United States,41,Monthly
NGMP31080,"Total Gross Domestic Product for Los Angeles-Long Beach-Anaheim, CA (MSA)",41,Annual
ACTLISCOU39580,"Housing Inventory: Active Listing Count in Raleigh, NC (CBSA)",40,Monthly
ACTLISCOU12060,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",40,Monthly
DAUTOSAAR,Motor Vehicle Retail Sales: Domestic Autos,40,Monthly
DHLCRC1Q027SBEA,Personal consumption expenditures: Services: Health care,40,Quarterly
FEDTARRL,"FOMC Summary of Economic Projections for the Fed Funds Rate, Range, Low",40,Annual
LREM64TTUSM156S,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for United States,40,Monthly
VAPGDPFI,"Value Added by Industry: Finance, Insurance, Real Estate, Rental, and Leasing: Finance and Insurance as a Percentage of GDP",40,Quarterly
CRESTKCPIXSLTRM159SFRBATL,"Sticky Price Consumer Price Index less Food, Energy, and Shelter",40,Monthly
CPALTT01JPM657N,Consumer Price Index: All Items: Total for Japan,40,Monthly
MEDLISPRIMA,Housing Inventory: Median Listing Price in Massachusetts,40,Monthly
CHNMAINLANDTPU,Trade Policy Uncertainty Index: Mainland Papers for China,40,Monthly
GGSAVE,Gross Government Saving,40,Quarterly
DPCERD3Q086SBEA,Personal consumption expenditures (implicit price deflator),40,Quarterly
CPROFIT,Corporate Profits with Inventory Valuation Adjustment (IVA) and Capital Consumption Adjustment (CCAdj),40,Quarterly
UNRATEMD,"FOMC Summary of Economic Projections for the Civilian Unemployment Rate, Median",40,Annual
CPALTT01USA657N,Consumer Price Index: All Items: Total for United States,39,Annual
IRLTLT01ESM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Spain,39,Monthly
RPIPCUS,Real Per Capita Personal Income for United States,39,Annual
DPCCRV1A225NBEA,Personal Consumption Expenditures (PCE) Excluding Food and Energy (chain-type price index),39,Annual
B1448C1A027NBEA,"Net farm income, USDA",39,Annual
B069RC1,Personal interest payments,39,Monthly
IRLTLT01USQ156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States,39,Quarterly
IR3TIB01DEM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Germany,39,Monthly
LB0000031Q020SBEA,Real Final Sales to Private Domestic Purchasers,39,Quarterly
EXPCH,U.S. Exports of Goods by F.A.S. Basis to Mainland China,39,Monthly
CPALTT01USQ661S,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United States",39,Quarterly
GCE,Government Consumption Expenditures and Gross Investment,39,Quarterly
LRHUTTTTDEM156S,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for Germany,39,Monthly
CPALTT01CNM659N,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for China",39,Monthly
SAUNGDPMOMBD,Crude Oil Production for Saudi Arabia,39,Annual
PCEND,Personal Consumption Expenditures: Nondurable Goods,39,Monthly
IR3TTS01CNM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Treasury Securities: Total for China,39,Monthly
A261RL1Q225SBEA,Real Gross Domestic Income,39,Quarterly
CANQGSP,Gross Domestic Product: All Industry Total in California,39,Quarterly
NGMP16980,"Total Gross Domestic Product for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",39,Annual
ACTLISCOU12011,"Housing Inventory: Active Listing Count in Broward County, FL",39,Monthly
ACTLISCOU16740,"Housing Inventory: Active Listing Count in Charlotte-Concord-Gastonia, NC-SC (CBSA)",39,Monthly
